typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20230101","2023","52","2023","699","IND","India","X","Export","368","IRQ","Iraq","0","W00","World","H6","HS","true","520100","Cotton; not carded or combed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","50","false","8","kg","50","false","50","false","0","false",,"57.13","57.13","0","false","true",
"C","A","20230101","2023","52","2023","699","IND","India","X","Export","372","IRL","Ireland","0","W00","World","H6","HS","true","520100","Cotton; not carded or combed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","50","false","8","kg","50","false","50","false","0","false",,"159.877","159.877","0","false","true",
"C","A","20230101","2023","52","2023","699","IND","India","X","Export","380","ITA","Italy","0","W00","World","H6","HS","true","520100","Cotton; not carded or combed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","44072","false","8","kg","44072","false","44072","false","0","false",,"101790.454","101790.454","0","false","true",
"C","A","20230101","2023","52","2023","699","IND","India","X","Export","392","JPN","Japan","0","W00","World","H6","HS","true","520100","Cotton; not carded or combed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1111554","false","8","kg","1111554","false","1111554","false","0","false",,"3298506.136","3298506.136","0","false","true",
"C","A","20230101","2023","52","2023","699","IND","India","X","Export","410","KOR","Rep. of Korea","0","W00","World","H6","HS","true","520100","Cotton; not carded or combed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","23779","false","8","kg","23779","false","23779","false","0","false",,"66959.341","66959.341","0","false","true",
"C","A","20230101","2023","52","2023","699","IND","India","X","Export","442","LUX","Luxembourg","0","W00","World","H6","HS","true","520100","Cotton; not carded or combed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","164","false","8","kg","164","false","164","false","0","false",,"980.654","980.654","0","false","true",
"C","A","20230101","2023","52","2023","699","IND","India","X","Export","462","MDV","Maldives","0","W00","World","H6","HS","true","520100","Cotton; not carded or combed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","281","false","8","kg","281","false","281","false","0","false",,"1997.022","1997.022","0","false","true",
"C","A","20230101","2023","52","2023","699","IND","India","X","Export","480","MUS","Mauritius","0","W00","World","H6","HS","true","520100","Cotton; not carded or combed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","22","false","8","kg","22","false","22","false","0","false",,"10.835","10.835","0","false","true",
"C","A","20230101","2023","52","2023","699","IND","India","X","Export","490","S19","Other Asia, nes","0","W00","World","H6","HS","true","520100","Cotton; not carded or combed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","420158","false","8","kg","420158","false","420158","false","0","false",,"1407534.76","1407534.76","0","false","true",
"C","A","20230101","2023","52","2023","699","IND","India","X","Export","512","OMN","Oman","0","W00","World","H6","HS","true","520100","Cotton; not carded or combed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","125","false","8","kg","125","false","125","false","0","false",,"207.019","207.019","0","false","true",
